"success","trial_type","trial_index","time_elapsed","internal_node_id","screen_width","screen_height","rt","stimulus","key_press","subj_id","test_part","freq","duration","condition","adjective","trial_num","is_correct"
"","jo-play-tone","210","412706","0.0-210.0","","","","","","_10521905","key_trial","392","250","right","","",""
"","jo-play-tone","211","413971","0.0-211.0","","","","","","_10521905","key_trial","174.61","250","right","","",""
"","jo-play-tone","212","415239","0.0-212.0","","","","","","_10521905","key_trial","261.63","250","right","","",""
"","html-keyboard-response","213","415474","0.0-213.0","","","233.79999995231628","<span style='font-size:2vw'>Every sound was positive.<br><br>Do you agree?<br><br>A=YES, L=NO","76","_10521905","resp_trial","","","","positive","20",""
"","html-keyboard-response","214","415979","0.0-214.0","","","null","<div style=""font-size:60px;""></div>","null","_10521905","blank","","","","","",""
"","html-keyboard-response","215","418987","0.0-215.0","","","null","<div><span style=""font-size:2vw"">Memory test:<br>Did you just hear this sound?<p>Get ready...</div>","null","_10521905","fixation","","","","","",""
"","jo-play-tone","216","420251","0.0-216.0","","","","","","_10521905","key_trial","261.63","250","right","","",""
"","html-keyboard-response","217","420257","0.0-217.0","","","3.1000001430511475","<span style='font-size:2vw'>Did you just hear this sound?<br><br>A=YES, L=NO","65","_10521905","resp_trial","261.63","","right","","20","true"
"","html-keyboard-response","218","420779","0.0-218.0","","","null","<div style=""font-size:60px;""></div>","null","_10521905","blank","","","","","",""
"","html-keyboard-response","219","422788","0.0-219.0","","","null","<div><span style=""font-size:2vw"">Every sound is unnerving.</div>","null","_10521905","fixation","","","","unnerving","",""
"","jo-play-tone","220","424052","0.0-220.0","","","","","","_10521905","key_trial","220","250","wrong","","",""
"","jo-play-tone","221","425322","0.0-221.0","","","","","","_10521905","key_trial","146.83","250","wrong","","",""
"","jo-play-tone","222","426588","0.0-222.0","","","","","","_10521905","key_trial","329.63","250","wrong","","",""
"","html-keyboard-response","223","429192","0.0-223.0","","","2602.7000000476837","<span style='font-size:2vw'>Every sound was unnerving.<br><br>Do you agree?<br><br>A=YES, L=NO","76","_10521905","resp_trial","","","","unnerving","21",""
"","html-keyboard-response","224","429698","0.0-224.0","","","null","<div style=""font-size:60px;""></div>","null","_10521905","blank","","","","","",""
"","html-keyboard-response","225","432707","0.0-225.0","","","null","<div><span style=""font-size:2vw"">Memory test:<br>Did you just hear this sound?<p>Get ready...</div>","null","_10521905","fixation","","","","","",""
"","jo-play-tone","226","433970","0.0-226.0","","","","","","_10521905","key_trial","110","250","wrong","","",""
"","html-keyboard-response","227","434725","0.0-227.0","","","753.1000001430511","<span style='font-size:2vw'>Did you just hear this sound?<br><br>A=YES, L=NO","76","_10521905","resp_trial","110","","wrong","","21","true"
"","html-keyboard-response","228","435243","0.0-228.0","","","null","<div style=""font-size:60px;""></div>","null","_10521905","blank","","","","","",""
"","html-keyboard-response","229","437251","0.0-229.0","","","null","<div><span style=""font-size:2vw"">Every sound is dull.</div>","null","_10521905","fixation","","","","dull","",""
"","jo-play-tone","230","438518","0.0-230.0","","","","","","_10521905","key_trial","220","250","avg","","",""
"","jo-play-tone","231","439794","0.0-231.0","","","","","","_10521905","key_trial","146.83","250","avg","","",""
"","jo-play-tone","232","441058","0.0-232.0","","","","","","_10521905","key_trial","98","250","avg","","",""
"","html-keyboard-response","233","441257","0.0-233.0","","","197.10000014305115","<span style='font-size:2vw'>Every sound was dull.<br><br>Do you agree?<br><br>A=YES, L=NO","65","_10521905","resp_trial","","","","dull","22",""
"","html-keyboard-response","234","441764","0.0-234.0","","","null","<div style=""font-size:60px;""></div>","null","_10521905","blank","","","","","",""
"","html-keyboard-response","235","444770","0.0-235.0","","","null","<div><span style=""font-size:2vw"">Memory test:<br>Did you just hear this sound?<p>Get ready...</div>","null","_10521905","fixation","","","","","",""
"","jo-play-tone","236","446034","0.0-236.0","","","","","","_10521905","key_trial","154.94333333333336","250","avg","","",""
"","html-keyboard-response","237","446911","0.0-237.0","","","874.5999999046326","<span style='font-size:2vw'>Did you just hear this sound?<br><br>A=YES, L=NO","65","_10521905","resp_trial","154.94333333333336","","avg","","22","false"
"","html-keyboard-response","238","447443","0.0-238.0","","","null","<div style=""font-size:60px;""></div>","null","_10521905","blank","","","","","",""
"","html-keyboard-response","239","449450","0.0-239.0","","","null","<div><span style=""font-size:2vw"">Every sound is calm.</div>","null","_10521905","fixation","","","","calm","",""
"","jo-play-tone","240","450715","0.0-240.0","","","","","","_10521905","key_trial","1108.73","250","right","","",""
"","jo-play-tone","241","451986","0.0-241.0","","","","","","_10521905","key_trial","2489.02","250","right","","",""
"","jo-play-tone","242","453250","0.0-242.0","","","","","","_10521905","key_trial","1661.22","250","right","","",""
"","html-keyboard-response","243","453475","0.0-243.0","","","223.70000004768372","<span style='font-size:2vw'>Every sound was calm.<br><br>Do you agree?<br><br>A=YES, L=NO","76","_10521905","resp_trial","","","","calm","23",""
"","html-keyboard-response","244","453978","0.0-244.0","","","null","<div style=""font-size:60px;""></div>","null","_10521905","blank","","","","","",""
"","html-keyboard-response","245","456988","0.0-245.0","","","null","<div><span style=""font-size:2vw"">Memory test:<br>Did you just hear this sound?<p>Get ready...</div>","null","_10521905","fixation","","","","","",""
"","jo-play-tone","246","458257","0.0-246.0","","","","","","_10521905","key_trial","2489.02","250","right","","",""
"","html-keyboard-response","247","458849","0.0-247.0","","","590.7000000476837","<span style='font-size:2vw'>Did you just hear this sound?<br><br>A=YES, L=NO","65","_10521905","resp_trial","2489.02","","right","","23","true"
